date,category,tests,pos,pos_rate,cases_active,tested_total,tests_total,pos_symp_total,pos_asymp_total,pos_rate_total
2021-08-23,employees,107,3,0.027999999999999997,4,972,6741,53,31,0.012
2021-08-23,students,2890,4,0.0014000000000000002,7,4192,18009,50,124,0.009300000000000001
